question,answer,score
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,lho adalah teks yang berisi hasil pengamatan terhadap suatu objek secara faktual,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,faktual objektif menggunakan bahasa baku,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,memberi informasi faktual kepada pembaca,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita singkat yang lucu atau menyindir,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung kelucuan dan sindiran,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi orientasi krisis reaksi koda,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,cerita lama yang berisi keajaiban dan unsur fantastis,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,tokoh sakti alur sederhana penuh keajaiban,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,pendahuluan peristiwa penutup,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,hikayat mengajarkan keberanian dan kejujuran,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks lho adalah teks yg kita tulis dari melihat atau menonton suatu seperti hewan tumbuhan atau penjelasan secara rinci,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,bersifat objektif disusun sistematis ditulis berdasarkan fakta,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,untuk menjelaskan suatu benda peristiwa,0
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot cerita singkat yg lucu menyindir,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung humor berdasarkan kejadian yang hampir nyata,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak krisis koda orientasi rekasi,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,cerita klasik yg berisi tentang tokoh hebat biasanya banyak kejadian,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,mengandung unsur fantastis bersifat turun temurun cerita berdasarkan kejadian,5
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,tema tokoh alur latar alamat,0
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,nilai moral krisis sosial informasi penting pelajaran hidup yg ingin disampaikan si penulis,0
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,laporan berisi fakta dan hasil pengamatan,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,fakta teratur dan jelas bahasa baku,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,menyampaikan fakta hasil pengamatan,5
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita pendek yang lucu sekaligus menyindir,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,lucu kritik dan menyindir,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abraksi pembuka cerita orientasi mengenalkan situasi dan tokoh kritik masalah atau kejadian reaksi penyelesaian koda penutup pesan,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,crita tradisional tentang tokoh luar biasah dengan unsur fantasi,0
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,mengandung unsur khayal tokoh istimewa melayu klasik,0
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,pengantar isi pristiwa penutup,0
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,lho jangan buang sampah sembarangan karena menyebabkan banjir,0
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,lho laporan berisi fakta dari hasil pengamatan,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,berisi fakta menggunakan bahasa baku disusun teratur dan jelas,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,menyampaikan fakta hasil pengamatan,5
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita pendek yang lucu sekaligus menyindir,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,bersifat lucu dan menghibur bersifat menyindir mengkritik,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi pembuka cerita bagian awal yang memberikan gambaran umum orientasi bagian yang berfungsi untuk mengenalkan situasi reaksi tanggapan penyelesaian,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat cerita tradisional tentang tokoh luar biasanya dengan unsur fantasi,0
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,menampilkan tokoh istimewa menggunakan bahasa melayu menggunakan unsur khayalan,0
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,pengertian isi peristiwa penutup,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,lho berisi fakta kenyataan karena tidak buatan dan penyampaian yang di beri berakurat atau tidak bohong dan tidak fiksi di buat buat,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yang mnjelaskan laporan yang berisi hasi pengamatan suatu objek tempat hewan tumbuhan d prsitiwa secara nyata,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,brsifat faktual bersifat objektif disajikan scara sistematis,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,memberikan informasi yang akurat tntang objek yang diteliti amati,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,yaitu teks yang menceritakan kejadian nyata imajinatif yang bersifat lucu unik menyampaikan pesan dg cara menyindir,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung unsur humor hal lucu memiliki unsur sindiran kritik,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi pembuka menarik prhatian pmbaca orientasi memberikan latar blkng cerita krisis mnjdi inti cerita reaksi penyelesaian koda penutup,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah karya sastra lama yang berisi cerita tntang tokoh tokoh sprti raja putri dll,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,tokoh digambarkan luar biasa mengandung unsur keajaiban hal gaib brsifat istana,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,pendahuluan untuk membuka cerita pristiwa isi yang trjadi penutup penutup cerita,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,teks anekdot mmberi pesan moral kritik yang ingin dismpaikan penulis melalui cerita lucu dan mnyindir,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks laporan yaitu teks yang awal mulainya tahu kejadian,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,dimana kapan dan siapa,0
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,agar kita tidak susah mencari laporan,0
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita singkat yg berisi cerita cerita lucu sindiran,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,pembahasan cerita singkat,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi gambaran krisis bagian inti,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,karya satsra lama mlayu berbentuk prosa yg berisi cerita,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,mustahil istana santris anunim,0
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi orientasi kompleks evatuasi,0
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,pembahasan jurusan menggunakan bhs baku secara sistem,0
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,lho adalah secara singkat pengertian teks yang berisi penjabaran umum dan pelaporan hasil pengamatan yg sistematik terhadap suara objek benda hewan tumbuhan fenomena alam,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,ciri ciri teks lho objek ilmiah sistematis terstruktur bahasa baku ilmiah fokus pada objek tunggal informatif tidak ada prasangka,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,tujuannya di buatnya lho untuk melaporkan hasil pengamatan secara sistematis agar dapat di pahami dan di gunakan sebagai landasan untuk tindakan atau pemahaman lebih lanjut,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot adalah tulisan singkat berisi cerita lucu sindiran,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,cerita singkat humor,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak pembuka dari sebuah cerita oreantasi menjelaskan latar tokoh dan situasi krisis bagian ini dari kejadian luka reaksi seorang tokoh memberikan respon koda penutup dari sebuah cerita,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah karya sastra mlayu klasik hikayat termasuk kedalam teks cerita rakyat juga cerita perkaan berisi cerita sisilah udd yg bersifat sejarah keagamaan dan dll,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,bersifat tentang sentris proogis tidak logis statis logis,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi oreantasi komplikasi evaluasi koda,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,lho adalah secara singkat pengertian teks yang berisi penjabaran umum pesan yang biasanya di sampaikan penulis ialah objek sistematis bahasa baku ilmiah,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,tulisan yg menyajikan informasi hasil pengamatan langsung terhadap objek tertentu,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,berdasarkan faktan dan pengamatan langsung struktur terorganisir dan sistematis bahasa jelas tegas dan objektif,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,untuk menyampaikan informasi akurat dan terpercaya tentang objek yang di amati kepada pembaca,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita singkat yang berisi pujian keritikan pada suatu perilaku kebijakan dengna cara menghibur dan tetap ada pesan moralnya,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,cerita singkat sindiran,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi gambaran cerita orientasi latar cerita memperkenalkan tokoh tempat dan waktu krisis bagian inti cerita reaksi tanggapan koda penutup cerita,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,karya sastra prosa melayu yang berisi cerita undangan undangan yg bersifat keagamaan rekaan dan historis,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,mustahil istana sentris anonim menceritakan tentang tokoh pahalawan mengandung unsur metologi menyampaikan pesan moral,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstaksi gambaran cerita orientasi latas cerita komplikasi bagian inti masalah evaluasi bagian pembenaran resolusi solusi dalam cerita koda penutup,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,poin utama kelebihan dan kesetiaan terhadap tanah air,0
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks lho adalah teks penjabaran umum suatu objek sesuatu berupa hasil pengamatan observasi,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,ciri utama teks lho disusun secara struktur menggunakan bahasa baku dan ilmiah bersifat objektif,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,tujuan dibuatnya teks lho adalah untuk menjelaskan informasi bedasarkan aoa yang diamati secara langsung,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot adalah teks yang berisi kritikan dan didalamnya terdapat lelucon humor,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,ciri ciri teks anekdot mengandung kejadian unik berupa kata sindiran lelucon,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,struktur teks anekdot abstrak orientasi pengenalan suatu kejadian krisis timbul masalah rekasi menyelesaikan masalah koda akhir cerita ending,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,teks hikayat adalah karya sastra lama melayu berbentuk prosa berisi cerita historis kesaktian kehebatan,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,ciri khas hikayat unsur fantastis ada cerita keajaiban menggunakan bahasa melayu asli,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,struktur teks hikayat abstrak orientasi pengenalan tokoh komplikasi munculnya suatu masalah klimaks resolusi koda ending ddari cerita pendahuluan pembuka cerita peristiwa isi dari cerita penutup ending dari cerita,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,teks anekdot menyampaikan pesan kritikan sindiran yang disampaikan penulis lewat cerita humoris lelucon,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,lho singkatan dari laporan hasil observasi lho merupakan laporan yang berisi hasil pengamatan terhadap suatu objek,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,bersifat objektif data virtual dan menggunakan bahasa baku,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,menyampaikan hasil pengamatan secara jelas dan virtual,8
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks yang berisi cerita lucu,0
sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung unsur humor lelucon dan berfungsi sebagai kritik,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak menarik perhatian pembaca krisis membangun konflik,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,karya satra lama berbentuk prosa yang berisi cerita kehidupan tokoh dengan unsur keajaiban,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,mengandung unsur fantastis tokoh digambarkan luar biasa,0
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstrak orientasi pengenalan konflikasi konflik resolusi penyelasaian koda penutup,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,hikayat menurut saya karya sastra yang menceritakan tentang masa dahulu tokoh digambarkan sangat luar biasa,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,lho singkat dari laporan hasi observasi lho merupakan laporan yang berisi hasi pengamatan terhadap suatu objek peristiwa teks atau dokumen yang memaparkan data dan informasi yang diperoleh melalui kegiatan observasi,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,bersifat objek data faktual menggunakan bahasa baku dan jelas,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,menyampaikan hasil pengamatan secara jelas dan faktual mendokumentasikan data hasil observasi,0
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks berisi singkat yang lucu menggelitik memberikan tujuan kritik,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung unsur himor kelucuan berfungsi sebagai kritik sindiran sindiran,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,objek menarik perhatian pembaca orientasi memberikan latar krisis membangun konflik reaksi memberikan belakang menyelesaikan,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,karya sastra lama berbetuk proses yang berisi cerita kehidupan tokoh dengan unsur keajaiban kesaktian,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,mengandung unsur fantastis tokoh digambarkan luar biasa bertujuan menghibur pelajar moral,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,objek orientasi pengenalan konplikasi konfik peristiwa resolusi penyelesaian kode penutupan,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,,0
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yang menggunakan bahasa baku,0
sebutkan tiga ciri utama dari teks laporan hasil observasi,bersifat objek faktual menggunakan bahasa baku dan jelas,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,menyapaikan hasil pengamatan scara jelas dn fktual,0
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks berisi cerita singkat,0
sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung unsur humor mengandung kritik atau sindiran,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi orientasi krisis reaksi,8
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,salah satu bentuk karya sastra,0
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,kemustahilan istana sentris anonim,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,eksposisi orientasi komplikasi permasalahan klimaks resolusi koda,0
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,nilai moral nilai budaya nilai sosial,0
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yg berisi penjabaran umum dan laporan hasil pengamatan yg sistematis terhadap suatu objek benda hewan tumbuhan fenomena alam dan dll,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,bersifat sistematis pembahasan bahasa baku,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,tujuannya untuk melaporkan hasil pengamatan secara sistematis agar dapat dipahami dan digunakan sebagai landasan tindakan pemikiran lebih lanjut,8
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot adalah cerita singkat yg berisi cerita lucu sindiran,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,cerita singkat humor,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi sebagai pembuka dari sebuah cerita orientasi sebagai penjelasan latar tokoh dan situasi krisis sebagai bagian inti kejadian lucu reaksi seorang tokoh memberikan respon koda sebagai penutup dari sebuah cerita dan kesimpulan,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah karya sastra klasik melayu hikayat juga termasuk ke dalam cerita rakyat cerita kraan cerita silsilah udd bersifat keagamaan dan dll,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,bersifat intonatif praogis tidak logis statis logis,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi sebagai pembuka dari sebuah cerita oreantasi sebagai penjelasan latar tokoh dan situasi komflikasi sebagai permasalahan dari sebuah cerita evaluasi sebagai penyelesaian masalalu dari sebuah cerita koda sebagai penutup dari sebuah cerita,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,setelah seseorang mempelajari teks lho seorang dapat memahami apa yg di di amati dgn jelas,0
